0,1
15.495506,-2.4824116
2.043132,3.763053
11.847304,-6.4458537
1.440942,4.4239583
5.0791006,2.769457
2.2370608,2.6403728
-13.247338,1.7073607
12.169953,-4.5903344
-10.127586,0.94331133
-12.218203,0.1085604
-9.437794,1.0656744
-13.047593,0.57617176
12.75254,-5.2780232
5.2102194,3.2714427
11.427753,-5.84043
-11.63462,2.2282796
11.351884,-4.7539597
16.318573,-3.867862
-11.747533,1.7914113
-12.343657,2.3493989
1.2916818,4.190809
14.424117,-6.0749197
-12.553284,1.1202773
5.3983893,3.8948157
16.052654,-3.1439266
-10.826121,1.9900595
0.87202907,3.6498575
14.874813,-3.7728767
-9.877443,1.250341
11.737642,-6.887308
-11.043434,2.3345375
4.084084,4.16843
15.420878,-6.0854287
-10.468475,0.57964885
15.599242,-2.9653702
-12.70448,2.2004075
13.043429,-2.2585032
2.4317985,6.046753
3.080892,4.9728055
-12.949083,1.2227052
2.670777,3.1588957
3.360647,5.48734
-11.006143,2.1307778
13.907443,-2.6459017
-12.531231,1.6242418
-12.731113,0.5348531
11.873153,-6.865597
-10.068759,2.2740567
4.716703,3.9678006
-11.974242,1.0455841
-11.715182,-0.22710693
-11.652613,0.4688644
-12.703546,0.0837144
4.26566,4.059301
-12.176395,1.3692937
11.696845,-1.7435541
-10.461897,2.131857
4.7531896,3.367954
1.9941313,5.3642797
14.843036,-5.2159405
2.827141,3.3453403
15.665456,-5.487936
3.5228095,2.6873248
5.17015,5.0869007
2.001156,4.149271
11.984075,-5.2124295
5.2806025,4.013726
12.238633,-5.2297897
2.9046838,3.705803
14.809018,-3.7743223
16.26879,-3.3396635
4.8008485,4.6482773
2.596423,6.073784
2.0821288,3.483001
16.636444,-5.0491586
5.3090696,4.33258
12.550678,-7.009261
-10.2079935,0.27436695
11.151319,-0.9589862
5.630269,3.113071
2.4589782,5.461816
12.937143,-1.5943682
4.673696,5.050058
-10.942625,0.122832686
-11.198222,1.4947358
2.6119273,4.9222493
-11.076973,-0.380914
-10.71651,1.4330529
-10.33439,-0.316744
11.287094,-3.4912484
15.930993,-4.5679393
13.239566,-3.8239293
15.015729,-5.396318
15.714835,-4.6198955
-11.137089,0.59588426
2.573308,2.1958418
14.743915,-3.349206
-10.617762,0.29196027
15.711286,-5.608538
2.2583437,4.7663455
1.0020002,2.045841
1.3259254,2.1317036
5.896637,1.9682276
6.337859,1.5409992
12.591487,-3.5451896
12.844951,-3.922603
1.5203077,2.1214101
1.3373777,1.9314815
1.532397,1.905303
5.3181057,2.0553195
6.14881,1.3297791
12.66182,-3.3714592
12.80609,-3.9744904
2.1306665,1.787441
5.7704706,2.4334102
6.8905115,1.0567477
12.414619,-3.2293458
13.085038,-4.2930317
6.7481647,4.847396
6.4817276,2.7553532
8.204905,0.28399646
11.988245,-2.9243948
13.356783,-4.608114
7.230994,4.843459
7.1166086,2.9626627
8.916985,-0.21362084
11.511592,-2.6113205
13.601274,-4.999104
7.681625,4.797913
7.6761503,3.1387053
9.345357,-0.55519235
11.006512,-2.3311605
13.761827,-5.418695
8.0744295,4.724131
8.079328,3.283573
9.612458,-0.81148106
10.601874,-2.1084602
13.839124,-5.813538
8.402993,4.649077
8.357069,3.3836927
9.734044,-0.98435646
10.29105,-1.9770736
13.891068,-6.150845
8.663643,4.5869517
8.543455,3.4436145
9.776903,-1.1003548
10.079357,-1.9283704
13.931091,-6.391088
8.857264,4.5480356
